State,Year,Total Vehicles
AK,2017,594
AK,2018,541
AK,2019,1009
AK,2020,1851
AK,2021,3137
AK,2022,2752
AK,2023,1530
AL,2017,1218
AL,2018,1201
AL,2019,1148
AL,2020,438
AL,2022,549
AL,2023,576
AR,2021,12
AR,2022,186
AR,2023,255
AZ,2017,29669
AZ,2018,27866
AZ,2019,27828
AZ,2020,24208
AZ,2021,18983
AZ,2022,13819
AZ,2023,8259
CA,2017,90952
CA,2018,87131
CA,2019,90357
CA,2020,92168
CA,2021,87413
CA,2022,82484
CA,2023,66391
CO,2017,9747
CO,2018,10870
CO,2019,13159
CO,2020,14110
CO,2021,12531
CO,2022,10520
CO,2023,8242
CT,2017,3764
CT,2018,3623
CT,2019,3545
CT,2020,3420
CT,2021,3154
CT,2022,2837
CT,2023,2408
DC,2017,2612
DC,2018,2342
DC,2019,2497
DC,2020,2454
DC,2021,2391
DC,2022,2100
DC,2023,1782
DE,2022,106
DE,2023,548
FL,2017,14103
FL,2018,16781
FL,2019,15962
FL,2020,16571
FL,2021,16406
FL,2022,13030
FL,2023,6096
GA,2017,5591
GA,2018,3633
GA,2019,3235
GA,2020,3668
GA,2021,2560
GA,2022,3539
GA,2023,3244
HI,2017,9118
HI,2018,8150
HI,2019,7517
HI,2020,6928
HI,2021,6291
HI,2022,5316
HI,2023,4012
IA,2019,11
IA,2020,136
IA,2021,124
IA,2022,12
IA,2023,12
ID,2017,3772
ID,2018,8109
ID,2019,6917
ID,2020,5807
ID,2021,139
ID,2022,408
ID,2023,1599
IL,2017,1161
IL,2018,6057
IL,2019,5828
IL,2020,4538
IL,2021,5896
IL,2022,6296
IL,2023,5165
IN,2017,761
IN,2018,1775
IN,2019,330
IN,2020,533
IN,2021,839
IN,2022,620
IN,2023,249
KS,2017,871
KS,2018,1240
KS,2019,1251
KS,2020,1655
KS,2021,2942
KS,2022,3166
KS,2023,2138
KY,2017,1437
KY,2018,1406
KY,2019,379
KY,2020,60
KY,2021,287
KY,2022,619
KY,2023,896
LA,2017,596
LA,2018,605
LA,2019,191
LA,2020,57
LA,2021,207
LA,2022,313
LA,2023,1115
MA,2017,1368
MA,2018,1463
MA,2019,2433
MA,2020,1693
MA,2021,1628
MA,2022,1229
MA,2023,967
MD,2017,14823
MD,2018,13595
MD,2019,16269
MD,2020,14451
MD,2021,16961
MD,2022,15164
MD,2023,12821
ME,2019,177
ME,2020,182
ME,2021,126
ME,2022,111
MI,2017,1058
MI,2018,813
MI,2019,1691
MI,2020,1033
MI,2021,587
MI,2022,347
MI,2023,273
MN,2017,850
MN,2018,1734
MN,2019,2214
MN,2020,1996
MN,2021,1252
MN,2022,666
MN,2023,411
MO,2017,535
MO,2019,248
MO,2020,1657
MO,2021,2270
MO,2022,2782
MO,2023,1762
MS,2019,376
MS,2020,678
MS,2021,651
MS,2022,536
MS,2023,353
MT,2017,1674
MT,2018,809
MT,2019,1496
MT,2020,1620
MT,2021,1312
MT,2022,428
MT,2023,157
NC,2017,7960
NC,2018,5882
NC,2019,11700
NC,2020,10322
NC,2021,11058
NC,2022,10992
NC,2023,9523
ND,2020,136
ND,2021,111
ND,2022,77
NE,2018,420
NE,2019,756
NE,2020,661
NE,2021,846
NE,2022,1238
NE,2023,945
NH,2017,19
NH,2018,24
NH,2019,44
NH,2020,369
NH,2021,349
NH,2022,282
NH,2023,154
NJ,2017,998
NJ,2018,845
NJ,2019,886
NJ,2020,1078
NJ,2021,2199
NJ,2022,2230
NJ,2023,1729
NM,2017,535
NM,2018,569
NM,2019,538
NM,2020,66
NM,2021,228
NV,2017,9972
NV,2018,9878
NV,2019,10064
NV,2020,9750
NV,2021,8073
NV,2022,6439
NV,2023,4736
NY,2017,4712
NY,2018,4572
NY,2019,3797
NY,2020,4993
NY,2021,5934
NY,2022,4719
NY,2023,2864
OH,2017,1282
OH,2018,110
OH,2019,113
OH,2020,627
OH,2021,737
OH,2022,500
OH,2023,554
OK,2017,580
OK,2018,682
OK,2019,1763
OK,2020,1176
OK,2021,285
OK,2022,183
OK,2023,268
OR,2017,21257
OR,2018,20834
OR,2019,16932
OR,2020,19822
OR,2021,18655
OR,2022,12442
OR,2023,8531
PA,2017,3112
PA,2018,1883
PA,2019,1788
PA,2020,1649
PA,2021,2496
PA,2022,2339
PA,2023,1487
PR,2018,32
PR,2019,36
PR,2020,24
PR,2021,17
PR,2022,4
RI,2020,1015
RI,2021,926
RI,2022,840
RI,2023,674
SC,2017,920
SC,2018,3470
SC,2019,3981
SC,2020,3727
SC,2021,3970
SC,2022,4862
SC,2023,3807
SD,2020,36
SD,2021,406
SD,2022,330
TN,2017,5060
TN,2018,2472
TN,2019,1198
TN,2020,883
TN,2021,17
TX,2017,25310
TX,2018,27950
TX,2019,30405
TX,2020,29735
TX,2021,25695
TX,2022,25089
TX,2023,17007
UT,2017,3764
UT,2018,1410
UT,2020,2385
UT,2021,2584
UT,2022,1672
UT,2023,1281
VA,2017,28772
VA,2018,29923
VA,2019,36628
VA,2020,40897
VA,2021,38426
VA,2022,34524
VA,2023,29106
WA,2017,71338227
WA,2018,72460118
WA,2019,73792774
WA,2020,74265683
WA,2021,74864888
WA,2022,74273040
WA,2023,73336677
WI,2017,1022
WI,2021,468
WI,2022,10
WI,2023,12
WY,2022,53
WY,2023,68
